xflr5 v6.43

Plane name :        Team7_Mothership
Polar name :        Prop_Analysis_Viscous
Freestream speed :  18.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   10.000     0.000   0.881148   0.049132   0.013512   0.062644  -0.000000   0.000000  -0.070681   0.000000   0.000000   18.0000     0.1514
   10.500     0.000   0.919436   0.053543   0.014135   0.067677  -0.000000   0.000000  -0.081068   0.000000   0.000000   18.0000     0.1538
   11.000     0.000   0.957539   0.058126   0.014871   0.072997  -0.000000   0.000000  -0.091468   0.000000   0.000000   18.0000     0.1561
   11.500     0.000   0.995449   0.062880   0.015681   0.078561  -0.000000   0.000000  -0.101881   0.000000   0.000000   18.0000     0.1582
   12.000     0.000   1.033158   0.067799   0.016585   0.084384  -0.000000   0.000000  -0.112330   0.000000   0.000000   18.0000     0.1602
   12.500     0.000   1.070659   0.072882   0.017648   0.090530  -0.000000   0.000000  -0.122825   0.000000   0.000000   18.0000     0.1621
   13.000     0.000   1.107945   0.078123   0.018917   0.097039  -0.000000   0.000000  -0.133347   0.000000   0.000000   18.0000     0.1638
   13.500     0.000   1.145009   0.083518   0.020480   0.103998  -0.000000   0.000000  -0.143892   0.000000   0.000000   18.0000     0.1655
   14.000     0.000   1.181844   0.089065   0.022843   0.111908  -0.000000   0.000000  -0.154371   0.000000   0.000000   18.0000     0.1671


